rule_id,rule_set,description,smarts,rule_set_name,priority,max
1197,8,C13,[13#6],Supplemental,2,0
36,1,THIOLS,[SH],Essential,8,0
1200,8,SI.B.SE ATOMS,"[Si,B,Se]",Essential,2,0
1196,8,DEUTERIUM,[2H],Supplemental,2,0
108,2,IODINE,I,Supplemental,4,0
132,2,PHOSPHOR,P,Supplemental,4,0
155,2,THIOL,[S-],Essential,4,0
1267,8,HIGH BROMINE CONTENT(>1),[Br].[Br],Supplemental,2,0
160,2,TRIPLE BOND,C#C,Supplemental,4,0
934,5,RING TRIPLE BOND,"[C,c,N,n;R]#[C,c,N,n;R]",Essential,5,0
1139,7,SS DOUBLE BOND,S=S,Essential,1,0
1157,7,SS BOND,S-S,Essential,1,0
229,3,DISULFIDE ACYCLIC,[S;!R;X2]-[S;!R;X2],Essential,7,0
872,5,DISULFIDES,[SX2][SX2],Essential,5,0
929,5,SULPHUR HALIDE,"[#16][F,Cl,Br,I]",Essential,5,0
296,3,PHOSPHORUS SULFUR BOND,P~S,Essential,7,0
142,2,SILICON HALOGEN,"[Si][F,Cl,Br,I]",Essential,4,0
1001,6,P/S HALIDE,"[P,S][F,Cl,Br,I]",Essential,3,0
1162,7,PHOSPHOR HALIDE AND P S BOND,"[#15]~[F,Cl,Br,I,#16]",Essential,1,0
1138,7,PP BOND,P-P,Essential,1,0
295,3,PHOSPHORUS PHOSPHORUS BOND,P~P,Essential,7,0
962,5,THIOCARBONYL GROUP,C=S,Supplemental,5,0
153,2,THIOCARBONYL GROUP,"[C,c]=S",Essential,4,0
944,5,THIOLES (NOT AROMATIC),[!a][SX2;H1],Supplemental,5,0
1175,7,THIOL,*[SX2H],Essential,1,0
253,3,HETERO SILYL,[Si]~[!#6],Essential,7,0
19,1,PHOSPHORANES,C=P,Essential,8,0
291,3,PHOSPHITE,"[c,C]-[P;v3]",Essential,7,0
217,3,BORON WARHEAD,"[C,c]~[#5]",Essential,7,0
292,3,PHOSPHONIUM,[#15;+]~[!O],Essential,7,0
7,1,PEROXIDES,OO,Essential,8,0
1237,8,43,O~O,Essential,2,0
286,3,PEROXIDE,[#8]~[#8],Essential,7,0
1210,8,ALDEHYDE,O=[C!H0],Essential,2,0
312,3,SULF D2 OXYGEN D2,[S;D2][O;D2],Essential,7,0
148,2,SULFUR OXYGEN SINGLE BOND,[SX2]O,Supplemental,4,0
1140,7,SILICATE,[Si]~O,Essential,1,0
1250,8,CHLORATES,Cl~O,Essential,2,0
